,AROT_H,AROT_M,AROT_L,AROT_UM,AROT_J,AROT_S,DROT_H,DROT_M,DROT_L,DROT_UM,DROT_J,DROT_S
306,73.0,58.0,,60.0,78.0,,60.0,60.0,,27.0,57.0,
307,61.0,51.0,,67.0,80.0,,58.0,42.0,,40.0,42.0,
308,57.0,52.0,,61.0,73.0,,38.0,39.0,,43.0,47.0,
309,74.0,56.0,,68.0,88.0,,48.0,30.0,,46.0,44.0,
310,62.0,66.0,,61.0,79.0,,48.0,37.0,,56.0,45.0,
311,56.0,46.0,,64.0,76.0,,39.0,33.0,,50.0,42.0,
312,63.0,55.0,,62.0,76.0,,47.0,36.0,,49.0,52.0,
313,73.0,50.0,,53.0,78.0,,51.0,30.0,,45.0,48.0,
314,56.0,53.0,,61.0,76.0,,54.0,26.0,,47.0,42.0,
315,72.0,52.0,,65.0,88.0,,53.0,43.0,,34.0,57.0,
316,68.0,59.0,,65.0,71.0,,47.0,66.0,,59.0,44.0,
317,68.0,63.0,,50.0,85.0,,46.0,39.0,,31.0,43.0,
318,58.0,59.0,,59.0,95.0,,44.0,39.0,,39.0,42.0,
319,67.0,47.0,,61.0,74.0,,43.0,52.0,,41.0,41.0,
320,67.0,62.0,,50.0,81.0,,53.0,49.0,,50.0,43.0,
321,77.0,53.0,,56.0,,,54.0,35.0,,42.0,53.0,
322,64.0,52.0,,70.0,,,39.0,38.0,,40.0,48.0,
323,63.0,49.0,,68.0,,,44.0,41.0,,60.0,,
324,70.0,56.0,,57.0,,,49.0,31.0,,46.0,,
325,75.0,53.0,,54.0,,,39.0,41.0,,35.0,,
326,66.0,50.0,,59.0,,,49.0,39.0,,38.0,,
327,70.0,50.0,,52.0,,,49.0,45.0,,41.0,,
328,65.0,49.0,,59.0,,,52.0,30.0,,46.0,,
329,62.0,49.0,,60.0,,,43.0,27.0,,34.0,,
330,57.0,49.0,,56.0,,,47.0,33.0,,66.0,,
331,65.0,51.0,,53.0,,,53.0,38.0,,47.0,,
332,55.0,62.0,,59.0,,,48.0,38.0,,26.0,,
333,62.0,60.0,,56.0,,,47.0,46.0,,41.0,,
334,71.0,57.0,,53.0,,,46.0,50.0,,37.0,,
335,62.0,47.0,,63.0,,,50.0,34.0,,45.0,,
336,61.0,49.0,,57.0,,,53.0,34.0,,46.0,,
337,70.0,47.0,,73.0,,,49.0,35.0,,38.0,,
338,60.0,55.0,,52.0,,,51.0,43.0,,49.0,,
339,53.0,59.0,,55.0,,,41.0,42.0,,47.0,,
340,60.0,55.0,,53.0,,,31.0,27.0,,46.0,,
341,61.0,61.0,,49.0,,,43.0,38.0,,38.0,,
342,59.0,57.0,,59.0,,,54.0,33.0,,45.0,,
343,62.0,56.0,,68.0,,,43.0,42.0,,47.0,,
344,58.0,62.0,,67.0,,,58.0,34.0,,98.0,,
345,62.0,57.0,,60.0,,,40.0,40.0,,39.0,,
346,60.0,55.0,,50.0,,,53.0,32.0,,44.0,,
347,59.0,58.0,,56.0,,,47.0,34.0,,47.0,,
348,73.0,51.0,,60.0,,,50.0,33.0,,36.0,,
349,58.0,55.0,,59.0,,,43.0,40.0,,42.0,,
350,53.0,47.0,,60.0,,,51.0,36.0,,37.0,,
351,63.0,50.0,,62.0,,,52.0,29.0,,50.0,,
352,63.0,57.0,,61.0,,,37.0,57.0,,37.0,,
